class,x1,y1,x2,y2
1year,1565.385,321.01,1759.775,382.33
1day,1877.475,307.85,2113.905,380.17
1month,2159.84,293.465,2404.58,355.155
1sex,1500.945,1122.145,1719.075,1182.175
1name,1097.295,1173.845,2421.665,1267.215
1place,1689.06,589.485,2409.4,661.955
2year,1545.665,2453.63,1756.715,2524.99
2day,1867.555,2453.63,2099.865,2524.99
2month,2157.55,2455.155,2398.97,2517.405
2place,1686.87,2742.11,2398.97,2816.51
2sex,1492.525,3268.975,1706.615,3334.265
2name,1084.085,3329.715,2411.115,3410.185
3year,3024.525,1381.69,3250.755,1456.09
3day,3344.89,1383.21,3603.01,1454.57
3month,3634.895,1384.725,3900.605,1450.015
3place,3167.245,1676.24,3886.935,1753.68
3sex,2953.165,2218.29,3183.955,2289.65
3name,2569.025,2274.46,3912.755,2370.12
