class,confidence,keyword,overlap_perc,x1,y1,x2,y2
Handwriting,0.2274700105190277,1year,74.73429363742329,1593,294,1881,361
Handwriting,0.12118612229824066,1day,25.81048003256295,1946,308,2045,356
Handwriting,0.07912825047969818,1month,85.79446448109583,2221,279,2453,361
Handwriting,0.4200999438762665,1place,35.248824769006305,1358,534,2463,607
Handwriting,0.3606985807418823,1place,90.23203153058247,1245,591,2444,662
Handwriting,0.33503150939941406,1place,91.59608904725641,1612,590,2442,660
Handwriting,0.3109765350818634,1place,46.59588263900143,1079,530,2480,614
Handwriting,0.24657228589057922,1place,27.143783433295493,1165,495,2470,602
Handwriting,0.04753578081727028,1place,45.29907602528777,1163,619,2456,726
Handwriting,0.7083004117012024,1sex,82.65707726186568,1551,1110,1779,1171
Handwriting,0.6453984975814819,2year,53.36785550914741,1579,2441,1761,2492
Handwriting,0.3837115466594696,2day,31.79627260967914,1954,2446,2081,2490
Handwriting,0.29777148365974426,2day,35.43933054393294,1825,2474,2129,2564
Handwriting,0.29075297713279724,2day,38.77802395042293,1970,2444,2115,2491
Handwriting,0.16724535822868347,2day,37.00626940786052,1872,2449,2022,2494
Handwriting,0.07799272239208221,2day,22.920573275187355,1839,2450,1959,2500
Handwriting,0.21897979080677032,2month,69.27372980154183,2204,2433,2441,2492
Handwriting,0.4687332510948181,2place,24.496644295302232,1118,2615,2479,2745
Handwriting,0.06348579376935959,2place,50.19991432243338,1312,2641,2480,2763
Handwriting,0.05350356176495552,2place,19.47270425583448,1194,2782,2325,2924
Handwriting,0.5079691410064697,2sex,63.42832254874242,1530,3242,1908,3306
Handwriting,0.3652084171772003,2sex,67.85296962253825,1527,3255,1919,3316
Handwriting,0.20725677907466888,2sex,72.73191272170484,1482,3249,1832,3306
Handwriting,0.29227712750434875,3year,44.11290010013524,3083,1397,3230,1460
Handwriting,0.2544596791267395,3year,51.55274993817156,3080,1424,3213,1495
Handwriting,0.24502965807914734,3year,30.833023426048033,3044,1398,3163,1463
Handwriting,0.08164844661951065,3year,23.091608186914627,3034,1405,3119,1482
Handwriting,0.4721009135246277,3day,42.50374484429635,3394,1379,3557,1447
Handwriting,0.17115898430347443,3day,23.142655350081835,3501,1381,3597,1444
Handwriting,0.05504807084798813,3day,15.955993460608934,3536,1387,3606,1442
Handwriting,0.4600924551486969,3month,72.86786537506657,3634,1378,3890,1466
Handwriting,0.06472783535718918,3place,40.23571927484351,3141,1688,3658,1741
Handwriting,0.20370575785636902,3sex,90.91590568352191,2734,2212,3354,2296
Handwriting,0.1844443380832672,3sex,80.01226659397577,2944,2217,3315,2288
Handwriting,0.07155509293079376,3sex,100.0,2552,2220,3923,2340
Handwriting,0.0652829259634018,3sex,29.582935804824807,2544,2114,3931,2251
Handwriting,0.07155509293079376,3name,53.28417205563337,2552,2220,3923,2340
